1,b,2,3,2,3,3,1,1,3,3,1
2,b,3,3,3,3,3,2,2,1,3,2
3,b,3,2,2,3,3,0,0,0,0,0
4,b,2,3,3,3,3,2,2,2,3,0
5,b,3,3,2,3,3,1,3,1,2,3
6,b,2,1,2,2,2,2,1,1,1,1
7,b,3,3,3,3,3,3,3,2,3,3
8,b,3,2,3,3,3,1,0,2,0,0
9,b,1,3,2,3,2,2,0,1,2,1
10,b,3,1,2,3,3,2,1,2,1,2
11,b,3,3,3,3,3,3,3,3,3,3
12,b,2,1,1,3,2,0,0,0,0,0
13,r,3,3,3,3,3,2,1,1,2,1
14,r,2,1,1,3,2,1,0,2,1,2
15,r,1,1,1,3,1,1,0,0,0,2
16,r,0,1,2,3,2,1,0,1,0,2
17,r,2,2,3,3,2,2,0,2,1,1
18,r,3,3,3,3,3,1,0,1,2,3
20,r,3,2,2,3,3,2,0,1,1,2
22,r,2,3,3,3,3,1,3,3,2,2
23,r,1,3,2,3,3,1,0,1,2,1
24,r,1,0,2,3,3,1,0,2,3,2
25,g,0,1,3,3,2,0,0,2,2,1
26,g,3,3,2,3,3,3,1,2,1,1
27,g,1,0,1,2,2,2,1,2,0,0
28,g,0,2,3,3,2,1,0,2,0,2
29,g,1,1,2,2,3,1,0,1,0,3
30,g,2,1,2,2,3,1,0,1,0,2
31,g,0,2,1,3,3,0,0,2,1,2
32,g,2,3,2,3,3,0,0,2,2,0
33,g,1,1,2,2,3,1,0,1,0,1
35,g,2,3,3,2,2,2,1,2,3,2
